文件名,直接原因,最终三元组
2022-0_print.txt,未排查外来电路安全隔断;  未断开用户进线侧跌落开关;  未验电;  未装设接地线;  未穿戴相关防护用具;  自备发电机未加装防反送电设备,\n(安全制度缺失，导致，未落实工作票据制度)  \n(安全制度缺失，导致，未执行安全组织措施)  \n(安全培训教育不足，导致，安全教育培训不到位)  \n(安全培训教育不足，导致，安全意识薄弱)  \n(安全培训教育不足，导致，技能不足)  \n(现场监管不到位，导致，违章指挥)  \n(现场监管不到位，导致，生产作业组织管理混乱)  \n(现场监管不到位，导致，现场风险管控失控)  \n(未落实工作票据制度，导致，未执行安全技术措施)  \n(未执行安全组织措施，导致，生产作业组织管理混乱)  \n(安全意识薄弱，导致，未穿戴相关防护用具)  \n(生产作业组织管理混乱，导致，违章指 挥)  \n(未执行安全技术措施，导致，未验电)  \n(未执行安全技术措施，导致，未装设接地线)  \n(安全教育培训不到位，导致，未穿戴相关防护用具)  \n(现场风险管控失控 ，导致，未排查外来电路安全隔断)  \n(违章指挥，导致，未断开用户进线侧跌落开关)  \n(技能不足，导致，自备发电机未加装防反送电设备)  \n(未验电，和，未装设接地线)  \n(未排查外来电路安全隔断，和，未断开用户进线侧跌落开关)  \n(未排查外来电路安全隔断，导致，触电)  \n(未断开用户进线侧跌落开关，导致，触电)  \n(未验电，导致，触电)  \n(未装设接地线，导致，触电)  \n(未穿戴相关防护用具，导致，触电)  \n(自备发电机未加装防反送电设备，导致，触电)  \n(触电，导致，1人死亡；0人受伤；直接经济损失约0万元)
2012-1_print.txt,擅自登杆作业,\n(安全责任不落实，导致，安全培训教育不足)  \n(隐患排查不到位，导致，现场监督检查不力)  \n(安全培训教育不足，导致，安全意识薄弱)  \n(安全培训教育不足，导致，技能不足)  \n(资质审核不到位，导致，没有电工进网作业许可 证)  \n(资质审核不到位，导致，技能不足)  \n(现场监督检查不力，导致，安全意识薄弱)  \n(现场监督检查不力，导致，没有电工进网作业许可证)  \n(安全意识薄弱，导致 ，擅自登杆作业)  \n(技能不足，导致，擅自登杆作业)  \n(没有电工进网作业许可证，导致，擅自登杆作业)  \n(安全意识薄弱，和，技能不足)  \n(安全意识薄弱，和，没有电工进网作业许可证)  \n(技能不足，和，没有电工进网作业许可证)  \n(擅自登杆作业，导致，触电)  \n(触电，导致，1人死亡；0人受伤；直接经济损失约0万元)
2012-2_print.txt,跌落式熔断器绝缘损坏;  未办理工作票手续;  未进行验电;  未装设接地线;  登台作业未使用安全带,\n(安全制度缺失，导致，安全培训教育不足)  \n(安全制度缺失，导致，现场监督检查不力)  \n(安全制度缺失，导致，隐患排查不到位)  \n(安全培训教育不足，导致，安全意识淡薄)  \n(现场监督检查不力，导致，作业现场没有设立监护人)  \n(隐患排查不到位，导致，跌落式熔断器绝缘损坏)  \n(操作规程不完善，导致，未进行验电)  \n(操作规程不完善，导致，未装设接地线)  \n(安全意识淡薄，导 致，未办理工作票手续)  \n(安全意识淡薄，导致，登台作业未使用安全带)  \n(作业现场没有设立监护人，导致，未办理工作票手续)  \n(未办理工作票手续，导致，未进行验电)  \n(未进行验电，导致，未装设接地线)  \n(跌落式熔断器绝缘损坏，导致，触电)  \n(未办理工作票手续，导致，触电)  \n(未进行验电，导致，触电)  \n(未装设接地线 ，导致，触电)  \n(登台作业未使用安全带，导致，触电)  \n(触电，导致，1人死亡；0人受伤；直接经济损失约0万元)
2012-3_print.txt,登杆前未检查杆根基础是否牢固;  无任何补强措施下登杆;  无监护独自登杆,\n(安全培训教育不足，导致，安全教育不到位)  \n(安全培训教育不足，导致，缺乏必要安全知识)  \n(安全培训教育不足，导致，安全意识不强)  \n(安全培训教育不足，导致，对隐患防范意识不够)  \n(安全培训教育不足，导致， 未强调施工危险点)  \n(现场监管不到位，导致，施工人员责任和工作任务不明确)  \n(现场监管不到位，导致，安全教育不到位)  \n(作业组织不规范，导致，擅自扩大施工作 业范围)  \n(作业组织不规范，导致，施工人员责任和工作任务不明确)  \n(安全教育不到位，导致，缺乏必要安全知识)  \n(缺乏必要安全知识，导致，安全意识不强)  \n(安全意识不强，导致，登杆前未检查杆根基础是否牢固)  \n(对隐患防范意识不够，导致，无任何补强措施下登杆)  \n(施工人员责任和工作任务不明确，导致，无监护独自登杆)  \n(擅自扩大施工作业范围，导致，登杆前未检查杆根基础是否牢固)  \n(未强调施工危险点，导致，登杆前未检查杆根基础是否牢固)  \n(登杆前未检查杆根基础是否牢固，和，无任何补强措施下登杆)  \n(登杆前未检查杆根基础是否牢固，和，无监护独自登杆)  \n(无任何补强措施下登杆，和，无监护独自登杆)  \n(登杆前未检查杆根基础是否牢固，导致，淹溺)  \n(无任何补强措施下登杆，导致，淹溺)  \n(无监护独自登杆，导致，淹溺)  \n(淹溺，导致，1人死亡；0人受伤；直接经济损失约0万元)
2012-4_print.txt,电杆基础不牢固;  未对该电杆采取安全预防措施,\n(安全制度缺失，导致，未编制施工组织方案)  \n(安全制度缺失，导致，施工组织不严密)  \n(作业组织不规范，导致，未按操作规程进行施工作业)  \n(作业组织不规范，导致，施工组织不严密)  \n(隐患排查不到位，导致，对现场安全 隐患排查不彻底)  \n(隐患排查不到位，导致，施工现场管理不严格)  \n(现场监管不到位，导致，施工现场管理不严格)  \n(现场监管不到位，导致，未编制施工组织方案)  \n(未编制施工组织方案，导致，施工组织不严密)  \n(施工组织不严密，导致，电杆基础不牢固)  \n(未按操作规程进行施工作业，导致，未对该电杆采取安全预防措施)  \n(对现场安全隐患排查不彻底，导致，电杆基础不牢固)  \n(施工现场管理不严格，导致，电杆基础不牢固)  \n(电杆基础不牢固，和，未对该电杆采取安全预防措施)  \n(电杆基础不 牢固，导致，高处坠落)  \n(未对该电杆采取安全预防措施，导致，高处坠落)  \n(高处坠落，导致，2人死亡；0人受伤；直接经济损失约0万元)
2012-5_print.txt,标示牌被大风吹起触碰带电中相隔离开关静接头,\n(隐患排查不到位，导致，安全警示标示牌固定不牢)  \n(隐患排查不到位，导致，员工安全意识薄弱)  \n(安全警示标示牌固定不牢，和，员工安全意识薄弱)  \n(安全警示标示牌固定不牢，导致，标示牌被大风吹起触碰带电中相隔离开关 静接头)  \n(员工安全意识薄弱，导致，标示牌被大风吹起触碰带电中相隔离开关静接头)  \n(标示牌被大风吹起触碰带电中相隔离开关静接头，导致，触电)  \n(触电，导致，1人死亡；0人受伤；直接经济损失约0万元)
2012-6_print.txt, 未开具工作票安排检修;  未落实接送电工作;  未核实送电指令;  未采取安全防护措施触摸避雷器;  未实施作业监护,\n(安全制度缺失，导致，安全教育培训不足)  \n(安全制度缺失，导致，安全责任未落实)  \n(安全制度缺失，导致，安全监管不到位)  \n(安全制度缺失，导致，资质审核不到位)  \n(安全制度缺失，导致，隐患排查不到位)  \n(安全监管 不到位，导致，通信条件不良)  \n(通信条件不良，导致，未核实送电指令)  \n(未核实送电指令，导致，未落实接送电工作)  \n(安全教育培训不足，导致，未开具工作票安排 检修)  \n(安全教育培训不足，导致，未采取安全防护措施触摸避雷器)  \n(安全监管不到位，导致，未实施作业监护)  \n(安全责任未落实，导致，未落实接送电工作)  \n(资 质审核不到位，导致，未核实送电指令)  \n(隐患排查不到位，导致，未采取安全防护措施触摸避雷器)  \n(未开具工作票安排检修，和，未落实接送电工作)  \n(未开具工作票 安排检修，和，未核实送电指令)  \n(未开具工作票安排检修，和，未采取安全防护措施触摸避雷器)  \n(未开具工作票安排检修，和，未实施作业监护)  \n(未落实接送电工作 ，和，未核实送电指令)  \n(未落实接送电工作，和，未采取安全防护措施触摸避雷器)  \n(未落实接送电工作，和，未实施作业监护)  \n(未核实送电指令，和，未采取安全防 护措施触摸避雷器)  \n(未核实送电指令，和，未实施作业监护)  \n(未采取安全防护措施触摸避雷器，和，未实施作业监护)  \n(未开具工作票安排检修，导致，触电)  \n(未 落实接送电工作，导致，触电)  \n(未核实送电指令，导致，触电)  \n(未采取安全防护措施触摸避雷器，导致，触电)  \n(未实施作业监护，导致，触电)  \n(触电，导致，1人死亡；0人受伤；直接经济损失约0万元)
2012-7_print.txt,"违反规程带负荷拉隔离开关, 露水大环境",\n(安全制度落实不到位，导致，安全意识淡薄)  \n(安全 制度落实不到位，导致，无票作业)  \n(安全培训教育不足，导致，自我保护意识差)  \n(安全培训教育不足，导致，无票作业)  \n(现场监督检查不力，导致，无监护操作)  \n(现场监督检查不力，导致，无调度许可作业)  \n(作业组织不规范，导致，无票作业)  \n(作业组织不规范，导致，无调度许可作业)  \n(安全意识淡薄，导致，违反规程带负荷拉隔离开关)  \n(自我保护意识差，导致，违反规程带负荷拉隔离开关)  \n(无票作业，导致，违反规程带负荷拉隔离开关)  \n(无监护操作，导致，违反规程带负荷拉隔离开关)  \n(无调度许可作业，导致，违反规程带负荷拉隔离开关)  \n(违反规程带负荷拉隔离开关，和，露水大环境)  \n(违反规程带负荷拉隔离开关，导致，触电)  \n(露水大环境，导致，触电)  \n(触电，导致，1人死亡；0人受伤；直接经济损失约60万元)
2012-9_print.txt,未使用工作票进行检修工作;  未使用操作票进行操作;   未装设接地线;   未设置安全遮栏和警示牌;  在验电器未报警的情况下接触高压带电设备;  电气主接线图与实际线路不符,\n(安全培训教育不足，导致，安全生产意识淡薄)  \n(现场监督检查不力，导致，思想麻痹大意)  \n(作业组织不规范，导致，调度指令在未办理工作票情况下下达)  \n(安全生产意识淡薄，导致，未使用工作票进行检修工作)  \n(安全生产意识淡薄，导致，未使用操作票进行操作)  \n(安全生产意识淡薄，导致，未装设接地线)  \n(安全生产意识淡薄，导致，未设置安全遮栏和警示牌)  \n(思想麻痹大意， 导致，在验电器未报警的情况下接触高压带电设备)  \n(工程验收管理制度存在漏洞，导致，安全培训教育不足)  \n(工程验收管理制度存在漏洞，导致，电气主接线图与实际线 路不符)  \n(工程验收管理制度存在漏洞，导致，现场监督检查不力)  \n(调度指令在未办理工作票情况下下达，导致，未使用工作票进行检修工作)  \n(未使用工作票进行检修 工作，和，未使用操作票进行操作)  \n(未装设接地线，和，未设置安全遮栏和警示牌)  \n(未使用工作票进行检修工作，导致，触电)  \n(未使用操作票进行操作，导致，触电)  \n(未装设接地线，导致，触电)  \n(未设置安全遮栏和警示牌，导致，触电)  \n(在验电器未报警的情况下接触高压带电设备，导致，触电)  \n(电气主接线图与实际线路不符，导致，触电)  \n(触电，导致，1人死亡；0人受伤；直接经济损失约0万元)
2012-10_print.txt,违章冒险登杆作业清除藤蔓,\n(安全教育培训有疏漏，导致，安全意识薄弱)  \n(安全教育培训有疏漏，导致，未核对设备名称和编号)  \n(对施工过程危险性未引起足够重视，导致，监护不到位)  \n(对施工过程危险性未引起足够重视，导致，安全意识薄弱)  \n(未采取有效安全技术措施，导致，未核对设备名称和编号)  \n(未采取有效安全技术措施，导致，监护不到位)  \n(安全意识薄弱，导致，违章冒险登杆作业清除藤蔓)  \n(未核对设备名称和编号，导致，违章冒险登杆作业清除藤蔓)  \n(监护不到位，导致，违章冒险登杆作业清除藤蔓)  \n(违章冒险登杆作业清除藤蔓，导致，触电)  \n(触电，导致，1人死亡；0人受伤；直接经济损失约0万元)
